temp_set_C,T_cell_C,tau_s,SOC,direction,I_A,rest_before_s,V_pre_V,V_tau_V,R_mOhm
-10,-8.42,10.0,0.3508,charge,4.978,20.2,3.5109,3.7073,39.4528
-10,-7.93,10.0,0.3001,charge,4.999,20.2,3.4528,3.6533,40.1088
-10,-8.1,10.0,0.2996,discharge,-4.502,20.2,3.4552,3.2187,52.5334
-10,-8.15,10.0,0.3001,charge,4.981,20.2,3.4675,3.6709,40.8376
-10,-8.39,10.0,0.2496,charge,4.999,20.2,3.4074,3.606,39.7311
-10,-8.45,10.0,0.2491,discharge,-2.993,20.2,3.4161,3.2255,63.6798
-10,-7.86,10.0,0.2494,charge,4.986,20.2,3.4284,3.6275,39.9334
-10,-8.12,10.0,0.2489,discharge,-3.618,20.2,3.4258,3.1878,65.7877
-10,-8.41,10.0,0.1984,charge,4.999,20.2,3.3532,3.5819,45.7501
-10,-7.79,10.0,0.1981,charge,4.985,20.2,3.3798,3.6008,44.3339
